ID;DateKey;Variable;Value
5;05.03.2019;kpi_3_brand_1;51
5;05.03.2019;kpi_3_brand_2;70
5;05.03.2019;kpi_3_brand_3;54
5;05.03.2019;kpi_3_brand_4;82
5;05.03.2019;dim_1;2
5;05.03.2019;dim_2;1
6;06.03.2019;kpi_1_brand_1;2
6;06.03.2019;kpi_1_brand_2;9
6;06.03.2019;kpi_1_brand_3;16
6;06.03.2019;kpi_1_brand_4;18
6;06.03.2019;kpi_2_brand_1;23
6;06.03.2019;kpi_2_brand_2;27
6;06.03.2019;kpi_2_brand_3;34
6;06.03.2019;kpi_2_brand_4;23
6;06.03.2019;kpi_3_brand_1;51
6;06.03.2019;kpi_3_brand_2;69
6;06.03.2019;kpi_3_brand_3;58
6;06.03.2019;kpi_3_brand_4;90
6;06.03.2019;dim_1;2
6;06.03.2019;dim_2;2
7;07.03.2019;kpi_1_brand_1;4
7;07.03.2019;kpi_1_brand_2;11
7;07.03.2019;kpi_1_brand_3;16
7;07.03.2019;kpi_1_brand_4;2
7;07.03.2019;kpi_2_brand_1;20
7;07.03.2019;kpi_2_brand_2;23
7;07.03.2019;kpi_2_brand_3;20
7;07.03.2019;kpi_2_brand_4;36
7;07.03.2019;kpi_3_brand_1;59
7;07.03.2019;kpi_3_brand_2;57
7;07.03.2019;kpi_3_brand_3;50
7;07.03.2019;kpi_3_brand_4;87
7;07.03.2019;dim_1;1
7;07.03.2019;dim_2;2
8;08.03.2019;kpi_1_brand_1;7
8;08.03.2019;kpi_1_brand_2;8
8;08.03.2019;kpi_1_brand_3;5
8;08.03.2019;kpi_1_brand_4;3
8;08.03.2019;kpi_2_brand_1;25
8;08.03.2019;kpi_2_brand_2;25
8;08.03.2019;kpi_2_brand_3;26
8;08.03.2019;kpi_2_brand_4;29
8;08.03.2019;kpi_3_brand_1;51
8;08.03.2019;kpi_3_brand_2;66
8;08.03.2019;kpi_3_brand_3;79
8;08.03.2019;kpi_3_brand_4;96
8;08.03.2019;dim_1;2
8;08.03.2019;dim_2;3
9;09.03.2019;kpi_1_brand_1;9
9;09.03.2019;kpi_1_brand_2;14
9;09.03.2019;kpi_1_brand_3;18
9;09.03.2019;kpi_1_brand_4;15
9;09.03.2019;kpi_2_brand_1;25
9;09.03.2019;kpi_2_brand_2;31
9;09.03.2019;kpi_2_brand_3;40
9;09.03.2019;kpi_2_brand_4;21
9;09.03.2019;kpi_3_brand_1;51
9;09.03.2019;kpi_3_brand_2;48
9;09.03.2019;kpi_3_brand_3;50
9;09.03.2019;kpi_3_brand_4;84
9;09.03.2019;dim_1;2
9;09.03.2019;dim_2;3
10;10.03.2019;kpi_1_brand_1;2
10;10.03.2019;kpi_1_brand_2;3
10;10.03.2019;kpi_1_brand_3;18
10;10.03.2019;kpi_1_brand_4;19
10;10.03.2019;kpi_2_brand_1;25
10;10.03.2019;kpi_2_brand_2;25
10;10.03.2019;kpi_2_brand_3;37
10;10.03.2019;kpi_2_brand_4;23
10;10.03.2019;kpi_3_brand_1;49
10;10.03.2019;kpi_3_brand_2;59
10;10.03.2019;kpi_3_brand_3;50
10;10.03.2019;kpi_3_brand_4;89
10;10.03.2019;dim_1;1
10;10.03.2019;dim_2;3
11;11.03.2019;kpi_1_brand_1;2
11;11.03.2019;kpi_1_brand_2;6
11;11.03.2019;kpi_1_brand_3;4
11;11.03.2019;kpi_1_brand_4;6
11;11.03.2019;kpi_2_brand_1;23
11;11.03.2019;kpi_2_brand_2;30
11;11.03.2019;kpi_2_brand_3;40
11;11.03.2019;kpi_2_brand_4;27
11;11.03.2019;kpi_3_brand_1;58
11;11.03.2019;kpi_3_brand_2;63
11;11.03.2019;kpi_3_brand_3;70
11;11.03.2019;kpi_3_brand_4;91
11;11.03.2019;dim_1;1
11;11.03.2019;dim_2;2
12;12.03.2019;kpi_1_brand_1;5
12;12.03.2019;kpi_1_brand_2;3
12;12.03.2019;kpi_1_brand_3;14
12;12.03.2019;kpi_1_brand_4;11
12;12.03.2019;kpi_2_brand_1;21
12;12.03.2019;kpi_2_brand_2;20
12;12.03.2019;kpi_2_brand_3;23
12;12.03.2019;kpi_2_brand_4;39
12;12.03.2019;kpi_3_brand_1;44
12;12.03.2019;kpi_3_brand_2;57
12;12.03.2019;kpi_3_brand_3;76
12;12.03.2019;kpi_3_brand_4;84
12;12.03.2019;dim_1;1
12;12.03.2019;dim_2;3
13;13.03.2019;kpi_1_brand_1;5
13;13.03.2019;kpi_1_brand_2;13
13;13.03.2019;kpi_1_brand_3;16
13;13.03.2019;kpi_1_brand_4;7
13;13.03.2019;kpi_2_brand_1;24
13;13.03.2019;kpi_2_brand_2;32
13;13.03.2019;kpi_2_brand_3;29
13;13.03.2019;kpi_2_brand_4;27
13;13.03.2019;kpi_3_brand_1;41
13;13.03.2019;kpi_3_brand_2;53
13;13.03.2019;kpi_3_brand_3;77
13;13.03.2019;kpi_3_brand_4;78
13;13.03.2019;dim_1;1
13;13.03.2019;dim_2;3
14;14.03.2019;kpi_1_brand_1;9
14;14.03.2019;kpi_1_brand_2;9
14;14.03.2019;kpi_1_brand_3;15
14;14.03.2019;kpi_1_brand_4;10
14;14.03.2019;kpi_2_brand_1;21
14;14.03.2019;kpi_2_brand_2;23
14;14.03.2019;kpi_2_brand_3;36
14;14.03.2019;kpi_2_brand_4;21
14;14.03.2019;kpi_3_brand_1;51
14;14.03.2019;kpi_3_brand_2;46
14;14.03.2019;kpi_3_brand_3;56
14;14.03.2019;kpi_3_brand_4;90
14;14.03.2019;dim_1;2
14;14.03.2019;dim_2;2
15;15.03.2019;kpi_1_brand_1;7
15;15.03.2019;kpi_1_brand_2;10
15;15.03.2019;kpi_1_brand_3;18
15;15.03.2019;kpi_1_brand_4;15
15;15.03.2019;kpi_2_brand_1;24
15;15.03.2019;kpi_2_brand_2;23
15;15.03.2019;kpi_2_brand_3;36
15;15.03.2019;kpi_2_brand_4;30
15;15.03.2019;kpi_3_brand_1;59
15;15.03.2019;kpi_3_brand_2;62
15;15.03.2019;kpi_3_brand_3;79
15;15.03.2019;kpi_3_brand_4;79
15;15.03.2019;dim_1;1
15;15.03.2019;dim_2;1
16;16.03.2019;kpi_1_brand_1;9
16;16.03.2019;kpi_1_brand_2;1
16;16.03.2019;kpi_1_brand_3;5
16;16.03.2019;kpi_1_brand_4;6
16;16.03.2019;kpi_2_brand_1;25
16;16.03.2019;kpi_2_brand_2;22
16;16.03.2019;kpi_2_brand_3;38
16;16.03.2019;kpi_2_brand_4;31
16;16.03.2019;kpi_3_brand_1;58
16;16.03.2019;kpi_3_brand_2;47
16;16.03.2019;kpi_3_brand_3;73
16;16.03.2019;kpi_3_brand_4;80
16;16.03.2019;dim_1;2
16;16.03.2019;dim_2;3
17;17.03.2019;kpi_1_brand_1;10
17;17.03.2019;kpi_1_brand_2;7
17;17.03.2019;kpi_1_brand_3;18
17;17.03.2019;kpi_1_brand_4;14
17;17.03.2019;kpi_2_brand_1;30
17;17.03.2019;kpi_2_brand_2;32
17;17.03.2019;kpi_2_brand_3;23
17;17.03.2019;kpi_2_brand_4;45
17;17.03.2019;kpi_3_brand_1;41
17;17.03.2019;kpi_3_brand_2;57
17;17.03.2019;kpi_3_brand_3;75
17;17.03.2019;kpi_3_brand_4;98
17;17.03.2019;dim_1;2
17;17.03.2019;dim_2;2
18;18.03.2019;kpi_1_brand_1;1
18;18.03.2019;kpi_1_brand_2;13
18;18.03.2019;kpi_1_brand_3;5
18;18.03.2019;kpi_1_brand_4;17
18;18.03.2019;kpi_2_brand_1;21
18;18.03.2019;kpi_2_brand_2;30
18;18.03.2019;kpi_2_brand_3;38
18;18.03.2019;kpi_2_brand_4;43
18;18.03.2019;kpi_3_brand_1;51
18;18.03.2019;kpi_3_brand_2;49
18;18.03.2019;kpi_3_brand_3;62
18;18.03.2019;kpi_3_brand_4;93
18;18.03.2019;dim_1;2
18;18.03.2019;dim_2;2
19;19.03.2019;kpi_1_brand_1;5
19;19.03.2019;kpi_1_brand_2;7
19;19.03.2019;kpi_1_brand_3;12
19;19.03.2019;kpi_1_brand_4;19
19;19.03.2019;kpi_2_brand_1;24
19;19.03.2019;kpi_2_brand_2;29
19;19.03.2019;kpi_2_brand_3;40
19;19.03.2019;kpi_2_brand_4;34
19;19.03.2019;kpi_3_brand_1;42
19;19.03.2019;kpi_3_brand_2;64
19;19.03.2019;kpi_3_brand_3;52
19;19.03.2019;kpi_3_brand_4;84
19;19.03.2019;dim_1;1
19;19.03.2019;dim_2;1
20;20.03.2019;kpi_1_brand_1;2
20;20.03.2019;kpi_1_brand_2;6
20;20.03.2019;kpi_1_brand_3;3
20;20.03.2019;kpi_1_brand_4;1
20;20.03.2019;kpi_2_brand_1;29
20;20.03.2019;kpi_2_brand_2;31
20;20.03.2019;kpi_2_brand_3;40
20;20.03.2019;kpi_2_brand_4;34
20;20.03.2019;kpi_3_brand_1;40
20;20.03.2019;kpi_3_brand_2;48
20;20.03.2019;kpi_3_brand_3;70
20;20.03.2019;kpi_3_brand_4;79
20;20.03.2019;dim_1;1
20;20.03.2019;dim_2;2
21;21.03.2019;kpi_1_brand_1;2
21;21.03.2019;kpi_1_brand_2;5
21;21.03.2019;kpi_1_brand_3;9
21;21.03.2019;kpi_1_brand_4;7
21;21.03.2019;kpi_2_brand_1;21
21;21.03.2019;kpi_2_brand_2;32
21;21.03.2019;kpi_2_brand_3;33
21;21.03.2019;kpi_2_brand_4;37
21;21.03.2019;kpi_3_brand_1;54
21;21.03.2019;kpi_3_brand_2;47
21;21.03.2019;kpi_3_brand_3;51
21;21.03.2019;kpi_3_brand_4;94
21;21.03.2019;dim_1;1
21;21.03.2019;dim_2;1
22;22.03.2019;kpi_1_brand_1;5
22;22.03.2019;kpi_1_brand_2;12
22;22.03.2019;kpi_1_brand_3;4
22;22.03.2019;kpi_1_brand_4;18
22;22.03.2019;kpi_2_brand_1;30
22;22.03.2019;kpi_2_brand_2;34
22;22.03.2019;kpi_2_brand_3;37
22;22.03.2019;kpi_2_brand_4;25
22;22.03.2019;kpi_3_brand_1;63
22;22.03.2019;kpi_3_brand_2;59
22;22.03.2019;kpi_3_brand_3;64
22;22.03.2019;kpi_3_brand_4;85
22;22.03.2019;dim_1;1
22;22.03.2019;dim_2;1
23;23.03.2019;kpi_1_brand_1;6
23;23.03.2019;kpi_1_brand_2;1
23;23.03.2019;kpi_1_brand_3;6
23;23.03.2019;kpi_1_brand_4;6
23;23.03.2019;kpi_2_brand_1;20
23;23.03.2019;kpi_2_brand_2;25
23;23.03.2019;kpi_2_brand_3;29
23;23.03.2019;kpi_2_brand_4;43
23;23.03.2019;kpi_3_brand_1;55
23;23.03.2019;kpi_3_brand_2;48
23;23.03.2019;kpi_3_brand_3;61
23;23.03.2019;kpi_3_brand_4;82
23;23.03.2019;dim_1;2
23;23.03.2019;dim_2;2
24;24.03.2019;kpi_1_brand_1;2
24;24.03.2019;kpi_1_brand_2;9
24;24.03.2019;kpi_1_brand_3;3
24;24.03.2019;kpi_1_brand_4;11
24;24.03.2019;kpi_2_brand_1;24
24;24.03.2019;kpi_2_brand_2;26
24;24.03.2019;kpi_2_brand_3;39
24;24.03.2019;kpi_2_brand_4;35
24;24.03.2019;kpi_3_brand_1;43
24;24.03.2019;kpi_3_brand_2;49
24;24.03.2019;kpi_3_brand_3;69
24;24.03.2019;kpi_3_brand_4;84
24;24.03.2019;dim_1;2
24;24.03.2019;dim_2;3
25;25.03.2019;kpi_1_brand_1;1
25;25.03.2019;kpi_1_brand_2;14
25;25.03.2019;kpi_1_brand_3;12
25;25.03.2019;kpi_1_brand_4;7
25;25.03.2019;kpi_2_brand_1;21
25;25.03.2019;kpi_2_brand_2;24
25;25.03.2019;kpi_2_brand_3;27
25;25.03.2019;kpi_2_brand_4;36
25;25.03.2019;kpi_3_brand_1;42
25;25.03.2019;kpi_3_brand_2;48
25;25.03.2019;kpi_3_brand_3;58
25;25.03.2019;kpi_3_brand_4;80
25;25.03.2019;dim_1;2
25;25.03.2019;dim_2;3
26;26.03.2019;kpi_1_brand_1;7
26;26.03.2019;kpi_1_brand_2;15
26;26.03.2019;kpi_1_brand_3;5
26;26.03.2019;kpi_1_brand_4;19
26;26.03.2019;kpi_2_brand_1;23
26;26.03.2019;kpi_2_brand_2;21
26;26.03.2019;kpi_2_brand_3;22
26;26.03.2019;kpi_2_brand_4;32
26;26.03.2019;kpi_3_brand_1;40
26;26.03.2019;kpi_3_brand_2;50
26;26.03.2019;kpi_3_brand_3;62
26;26.03.2019;kpi_3_brand_4;79
26;26.03.2019;dim_1;1
26;26.03.2019;dim_2;3
27;27.03.2019;kpi_1_brand_1;9
27;27.03.2019;kpi_1_brand_2;15
27;27.03.2019;kpi_1_brand_3;4
27;27.03.2019;kpi_1_brand_4;18
27;27.03.2019;kpi_2_brand_1;24
27;27.03.2019;kpi_2_brand_2;31
27;27.03.2019;kpi_2_brand_3;31
27;27.03.2019;kpi_2_brand_4;37
27;27.03.2019;kpi_3_brand_1;47
27;27.03.2019;kpi_3_brand_2;51
27;27.03.2019;kpi_3_brand_3;69
27;27.03.2019;kpi_3_brand_4;97
27;27.03.2019;dim_1;1
27;27.03.2019;dim_2;3
28;28.03.2019;kpi_1_brand_1;3
28;28.03.2019;kpi_1_brand_2;5
28;28.03.2019;kpi_1_brand_3;15
28;28.03.2019;kpi_1_brand_4;6
28;28.03.2019;kpi_2_brand_1;28
28;28.03.2019;kpi_2_brand_2;22
28;28.03.2019;kpi_2_brand_3;28
28;28.03.2019;kpi_2_brand_4;39
28;28.03.2019;kpi_3_brand_1;59
28;28.03.2019;kpi_3_brand_2;70
28;28.03.2019;kpi_3_brand_3;72
28;28.03.2019;kpi_3_brand_4;95
28;28.03.2019;dim_1;1
28;28.03.2019;dim_2;3
29;29.03.2019;kpi_1_brand_1;8
29;29.03.2019;kpi_1_brand_2;8
29;29.03.2019;kpi_1_brand_3;4
29;29.03.2019;kpi_1_brand_4;12
29;29.03.2019;kpi_2_brand_1;28
29;29.03.2019;kpi_2_brand_2;28
29;29.03.2019;kpi_2_brand_3;31
29;29.03.2019;kpi_2_brand_4;38
29;29.03.2019;kpi_3_brand_1;52
29;29.03.2019;kpi_3_brand_2;55
29;29.03.2019;kpi_3_brand_3;54
29;29.03.2019;kpi_3_brand_4;75
29;29.03.2019;dim_1;2
29;29.03.2019;dim_2;3
30;30.03.2019;kpi_1_brand_1;9
30;30.03.2019;kpi_1_brand_2;14
30;30.03.2019;kpi_1_brand_3;18
30;30.03.2019;kpi_1_brand_4;6
30;30.03.2019;kpi_2_brand_1;27
30;30.03.2019;kpi_2_brand_2;32
30;30.03.2019;kpi_2_brand_3;37
30;30.03.2019;kpi_2_brand_4;33
30;30.03.2019;kpi_3_brand_1;62
30;30.03.2019;kpi_3_brand_2;49
30;30.03.2019;kpi_3_brand_3;70
30;30.03.2019;kpi_3_brand_4;93
30;30.03.2019;dim_1;1
30;30.03.2019;dim_2;1
31;31.03.2019;kpi_1_brand_1;9
31;31.03.2019;kpi_1_brand_2;4
31;31.03.2019;kpi_1_brand_3;11
31;31.03.2019;kpi_1_brand_4;6
31;31.03.2019;kpi_2_brand_1;24
31;31.03.2019;kpi_2_brand_2;21
31;31.03.2019;kpi_2_brand_3;22
31;31.03.2019;kpi_2_brand_4;40
31;31.03.2019;kpi_3_brand_1;42
31;31.03.2019;kpi_3_brand_2;68
31;31.03.2019;kpi_3_brand_3;59
31;31.03.2019;kpi_3_brand_4;75
31;31.03.2019;dim_1;1
31;31.03.2019;dim_2;1
32;01.04.2019;kpi_1_brand_1;9
32;01.04.2019;kpi_1_brand_2;7
32;01.04.2019;kpi_1_brand_3;8
32;01.04.2019;kpi_1_brand_4;13
32;01.04.2019;kpi_2_brand_1;28
32;01.04.2019;kpi_2_brand_2;35
32;01.04.2019;kpi_2_brand_3;25
32;01.04.2019;kpi_2_brand_4;42
32;01.04.2019;kpi_3_brand_1;46
32;01.04.2019;kpi_3_brand_2;60
32;01.04.2019;kpi_3_brand_3;69
32;01.04.2019;kpi_3_brand_4;94
32;01.04.2019;dim_1;2
32;01.04.2019;dim_2;1
33;02.04.2019;kpi_1_brand_1;9
33;02.04.2019;kpi_1_brand_2;13
33;02.04.2019;kpi_1_brand_3;15
33;02.04.2019;kpi_1_brand_4;15
33;02.04.2019;kpi_2_brand_1;24
33;02.04.2019;kpi_2_brand_2;27
33;02.04.2019;kpi_2_brand_3;30
33;02.04.2019;kpi_2_brand_4;33
33;02.04.2019;kpi_3_brand_1;64
33;02.04.2019;kpi_3_brand_2;56
33;02.04.2019;kpi_3_brand_3;56
33;02.04.2019;kpi_3_brand_4;93
33;02.04.2019;dim_1;1
33;02.04.2019;dim_2;3
34;03.04.2019;kpi_1_brand_1;8
34;03.04.2019;kpi_1_brand_2;3
34;03.04.2019;kpi_1_brand_3;4
34;03.04.2019;kpi_1_brand_4;8
34;03.04.2019;kpi_2_brand_1;27
34;03.04.2019;kpi_2_brand_2;24
34;03.04.2019;kpi_2_brand_3;31
34;03.04.2019;kpi_2_brand_4;26
34;03.04.2019;kpi_3_brand_1;53
34;03.04.2019;kpi_3_brand_2;64
34;03.04.2019;kpi_3_brand_3;69
34;03.04.2019;kpi_3_brand_4;92
34;03.04.2019;dim_1;2
34;03.04.2019;dim_2;2
35;04.04.2019;kpi_1_brand_1;7
35;04.04.2019;kpi_1_brand_2;13
35;04.04.2019;kpi_1_brand_3;3
35;04.04.2019;kpi_1_brand_4;18
35;04.04.2019;kpi_2_brand_1;21
35;04.04.2019;kpi_2_brand_2;29
35;04.04.2019;kpi_2_brand_3;25
35;04.04.2019;kpi_2_brand_4;45
35;04.04.2019;kpi_3_brand_1;48
35;04.04.2019;kpi_3_brand_2;57
35;04.04.2019;kpi_3_brand_3;79
35;04.04.2019;kpi_3_brand_4;77
35;04.04.2019;dim_1;2
35;04.04.2019;dim_2;3
36;05.04.2019;kpi_1_brand_1;7
36;05.04.2019;kpi_1_brand_2;12
36;05.04.2019;kpi_1_brand_3;16
36;05.04.2019;kpi_1_brand_4;11
36;05.04.2019;kpi_2_brand_1;28
36;05.04.2019;kpi_2_brand_2;28
36;05.04.2019;kpi_2_brand_3;32
36;05.04.2019;kpi_2_brand_4;23
36;05.04.2019;kpi_3_brand_1;45
36;05.04.2019;kpi_3_brand_2;58
36;05.04.2019;kpi_3_brand_3;67
36;05.04.2019;kpi_3_brand_4;81
36;05.04.2019;dim_1;1
36;05.04.2019;dim_2;3
37;06.04.2019;kpi_1_brand_1;8
37;06.04.2019;kpi_1_brand_2;13
37;06.04.2019;kpi_1_brand_3;5
37;06.04.2019;kpi_1_brand_4;3
37;06.04.2019;kpi_2_brand_1;22
37;06.04.2019;kpi_2_brand_2;33
37;06.04.2019;kpi_2_brand_3;31
37;06.04.2019;kpi_2_brand_4;31
37;06.04.2019;kpi_3_brand_1;43
37;06.04.2019;kpi_3_brand_2;65
37;06.04.2019;kpi_3_brand_3;64
37;06.04.2019;kpi_3_brand_4;80
37;06.04.2019;dim_1;2
37;06.04.2019;dim_2;2
38;07.04.2019;kpi_1_brand_1;4
38;07.04.2019;kpi_1_brand_2;1
38;07.04.2019;kpi_1_brand_3;12
38;07.04.2019;kpi_1_brand_4;10
38;07.04.2019;kpi_2_brand_1;21
38;07.04.2019;kpi_2_brand_2;22
38;07.04.2019;kpi_2_brand_3;29
38;07.04.2019;kpi_2_brand_4;24
38;07.04.2019;kpi_3_brand_1;58
38;07.04.2019;kpi_3_brand_2;50
38;07.04.2019;kpi_3_brand_3;80
38;07.04.2019;kpi_3_brand_4;75
38;07.04.2019;dim_1;2
38;07.04.2019;dim_2;1
39;08.04.2019;kpi_1_brand_1;6
39;08.04.2019;kpi_1_brand_2;2
39;08.04.2019;kpi_1_brand_3;14
39;08.04.2019;kpi_1_brand_4;15
39;08.04.2019;kpi_2_brand_1;26
39;08.04.2019;kpi_2_brand_2;35
39;08.04.2019;kpi_2_brand_3;24
39;08.04.2019;kpi_2_brand_4;34
39;08.04.2019;kpi_3_brand_1;59
39;08.04.2019;kpi_3_brand_2;46
39;08.04.2019;kpi_3_brand_3;66
39;08.04.2019;kpi_3_brand_4;78
39;08.04.2019;dim_1;2
39;08.04.2019;dim_2;1
40;09.04.2019;kpi_1_brand_1;5
40;09.04.2019;kpi_1_brand_2;5
40;09.04.2019;kpi_1_brand_3;16
40;09.04.2019;kpi_1_brand_4;15
40;09.04.2019;kpi_2_brand_1;20
40;09.04.2019;kpi_2_brand_2;35
40;09.04.2019;kpi_2_brand_3;40
40;09.04.2019;kpi_2_brand_4;44
40;09.04.2019;kpi_3_brand_1;61
40;09.04.2019;kpi_3_brand_2;46
40;09.04.2019;kpi_3_brand_3;53
40;09.04.2019;kpi_3_brand_4;98
40;09.04.2019;dim_1;1
40;09.04.2019;dim_2;2
41;10.04.2019;kpi_1_brand_1;1
41;10.04.2019;kpi_1_brand_2;2
41;10.04.2019;kpi_1_brand_3;9
41;10.04.2019;kpi_1_brand_4;7
41;10.04.2019;kpi_2_brand_1;30
41;10.04.2019;kpi_2_brand_2;26
41;10.04.2019;kpi_2_brand_3;20
41;10.04.2019;kpi_2_brand_4;26
41;10.04.2019;kpi_3_brand_1;44
41;10.04.2019;kpi_3_brand_2;58
41;10.04.2019;kpi_3_brand_3;60
41;10.04.2019;kpi_3_brand_4;85
41;10.04.2019;dim_1;2
41;10.04.2019;dim_2;3
42;11.04.2019;kpi_1_brand_1;6
42;11.04.2019;kpi_1_brand_2;12
42;11.04.2019;kpi_1_brand_3;10
42;11.04.2019;kpi_1_brand_4;2
42;11.04.2019;kpi_2_brand_1;27
42;11.04.2019;kpi_2_brand_2;26
42;11.04.2019;kpi_2_brand_3;26
42;11.04.2019;kpi_2_brand_4;20
42;11.04.2019;kpi_3_brand_1;42
42;11.04.2019;kpi_3_brand_2;55
42;11.04.2019;kpi_3_brand_3;79
42;11.04.2019;kpi_3_brand_4;86
42;11.04.2019;dim_1;2
42;11.04.2019;dim_2;2
43;12.04.2019;kpi_1_brand_1;4
43;12.04.2019;kpi_1_brand_2;9
43;12.04.2019;kpi_1_brand_3;8
43;12.04.2019;kpi_1_brand_4;11
43;12.04.2019;kpi_2_brand_1;29
43;12.04.2019;kpi_2_brand_2;22
43;12.04.2019;kpi_2_brand_3;31
43;12.04.2019;kpi_2_brand_4;27
43;12.04.2019;kpi_3_brand_1;59
43;12.04.2019;kpi_3_brand_2;62
43;12.04.2019;kpi_3_brand_3;50
43;12.04.2019;kpi_3_brand_4;76
43;12.04.2019;dim_1;2
43;12.04.2019;dim_2;1
44;13.04.2019;kpi_1_brand_1;2
44;13.04.2019;kpi_1_brand_2;10
44;13.04.2019;kpi_1_brand_3;1
44;13.04.2019;kpi_1_brand_4;6
44;13.04.2019;kpi_2_brand_1;26
44;13.04.2019;kpi_2_brand_2;31
44;13.04.2019;kpi_2_brand_3;25
44;13.04.2019;kpi_2_brand_4;30
44;13.04.2019;kpi_3_brand_1;64
44;13.04.2019;kpi_3_brand_2;61
44;13.04.2019;kpi_3_brand_3;59
44;13.04.2019;kpi_3_brand_4;95
44;13.04.2019;dim_1;1
44;13.04.2019;dim_2;1
45;14.04.2019;kpi_1_brand_1;4
45;14.04.2019;kpi_1_brand_2;14
45;14.04.2019;kpi_1_brand_3;2
45;14.04.2019;kpi_1_brand_4;19
45;14.04.2019;kpi_2_brand_1;30
45;14.04.2019;kpi_2_brand_2;31
45;14.04.2019;kpi_2_brand_3;33
45;14.04.2019;kpi_2_brand_4;26
45;14.04.2019;kpi_3_brand_1;50
45;14.04.2019;kpi_3_brand_2;56
45;14.04.2019;kpi_3_brand_3;50
45;14.04.2019;kpi_3_brand_4;88
45;14.04.2019;dim_1;1
45;14.04.2019;dim_2;2
46;15.04.2019;kpi_1_brand_1;3
46;15.04.2019;kpi_1_brand_2;9
46;15.04.2019;kpi_1_brand_3;8
46;15.04.2019;kpi_1_brand_4;3
46;15.04.2019;kpi_2_brand_1;27
46;15.04.2019;kpi_2_brand_2;31
46;15.04.2019;kpi_2_brand_3;25
46;15.04.2019;kpi_2_brand_4;24
46;15.04.2019;kpi_3_brand_1;41
46;15.04.2019;kpi_3_brand_2;61
46;15.04.2019;kpi_3_brand_3;70
46;15.04.2019;kpi_3_brand_4;77
46;15.04.2019;dim_1;2
46;15.04.2019;dim_2;1
47;16.04.2019;kpi_1_brand_1;10
47;16.04.2019;kpi_1_brand_2;10
47;16.04.2019;kpi_1_brand_3;14
47;16.04.2019;kpi_1_brand_4;20
47;16.04.2019;kpi_2_brand_1;24
47;16.04.2019;kpi_2_brand_2;25
47;16.04.2019;kpi_2_brand_3;40
47;16.04.2019;kpi_2_brand_4;34
47;16.04.2019;kpi_3_brand_1;41
47;16.04.2019;kpi_3_brand_2;49
47;16.04.2019;kpi_3_brand_3;74
47;16.04.2019;kpi_3_brand_4;92
47;16.04.2019;dim_1;2
47;16.04.2019;dim_2;1
48;17.04.2019;kpi_1_brand_1;5
48;17.04.2019;kpi_1_brand_2;10
